participant_code,timestamp,interval,red,green,white,black
20190424_29_3,1528239853572,52,0,0,0,0
20190424_29_3,1528239855879,2307,0,0,0,1
20190424_29_3,1528239856135,256,0,0,1,1
20190424_29_3,1528239856240,105,1,0,1,1
20190424_29_3,1528239857646,1406,0,0,1,1
20190424_29_3,1528239857698,52,0,0,0,1
20190424_29_3,1528239857801,103,0,0,0,0
20190424_29_3,1528239861762,3961,0,0,1,1
20190424_29_3,1528239862968,1206,1,1,1,1
20190424_29_3,1528239863672,704,0,0,0,1
20190424_29_3,1528239863724,52,0,0,0,0
20190424_29_3,1528239864077,353,0,1,0,0
20190424_29_3,1528239864230,153,0,0,0,0
20190424_29_3,1528239864382,152,1,0,0,0
20190424_29_3,1528239864485,103,0,0,0,0
20190424_29_3,1528239865840,1355,1,1,1,1
20190424_29_3,1528239867403,1563,0,0,1,1
20190424_29_3,1528239867458,55,0,0,0,0
20190424_29_3,1528239871770,4312,0,0,0,1
20190424_29_3,1528239872175,405,0,0,1,1
20190424_29_3,1528239872228,53,0,0,1,0
20190424_29_3,1528239872934,706,0,0,0,0
20190424_29_3,1528239873039,105,0,0,0,1
20190424_29_3,1528239873445,406,0,0,0,0
20190424_29_3,1528239873502,57,0,0,1,0
20190424_29_3,1528239873558,56,0,0,1,1
20190424_29_3,1528239873813,255,0,0,0,1
20190424_29_3,1528239873964,151,0,0,1,1
20190424_29_3,1528239874316,352,0,0,1,0
20190424_29_3,1528239874369,53,0,0,0,1
20190424_29_3,1528239874420,51,0,0,0,0
20190424_29_3,1528239877780,3360,0,0,1,0
20190424_29_3,1528239877933,153,0,0,1,1
20190424_29_3,1528239877985,52,0,1,1,1
20190424_29_3,1528239879289,1304,0,0,1,1
20190424_29_3,1528239879341,52,0,0,0,0
20190424_29_3,1528239883253,3912,1,0,0,0
20190424_29_3,1528239883305,52,1,1,1,0
20190424_29_3,1528239883357,52,1,1,1,1
20190424_29_3,1528239884861,1504,0,0,1,1
20190424_29_3,1528239884917,56,0,0,0,0
20190424_29_3,1528239902813,17896,1,0,0,0
20190424_29_3,1528239903015,202,0,0,0,0
20190424_29_3,1528239903216,201,1,0,0,0
20190424_29_3,1528239903418,202,0,0,0,0
20190424_29_3,1528239903621,203,1,0,0,0
20190424_29_3,1528239903773,152,0,0,0,0
